"power","mean.k","R.squared"
2,157.246714385454,0.430530764153536
3,125.214587754519,0.43992602255438
4,109.565686617889,0.470391963636688
5,99.0093247167264,0.496024839429279
6,90.9406097253861,0.516943788670483
7,84.3932455463187,0.53316615485173
8,78.8976856045978,0.546530546842081
9,74.185346485241,0.557915798780002
10,70.0845702621299,0.56680554834469
11,66.4766848240524,0.5750321648968
12,63.2749398246836,0.581101200339614
13,60.4133395023404,0.586396668884848
14,57.8402013997652,0.591844299376756
15,55.5141686809142,0.59795411953761
16,53.4015932611573,0.60214447976971
17,51.4747356512769,0.607262075510305
18,49.7104791363764,0.612444600156165
19,48.0893834283775,0.616287968680262
20,46.5949713095778,0.621616503535771
21,45.2131804195027,0.625352355677688
22,43.9319352323345,0.629055605934867
23,42.7408084346693,0.632718805062241
24,41.6307500137385,0.636337603366963
25,40.5938684117636,0.639897060478033
26,39.6232522356879,0.643442010376471
27,38.7128239087414,0.64692048812283
28,37.8572187246092,0.650359507054149
29,37.0516842775054,0.653763755547442
30,36.2919963618822,0.657104402192062
