Gene,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_36.5,0,0,0,0,0,0,0,0,0,0.03269002954958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.243,0,0,0,0,0,0,0,0.106949485137925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.514,0,0,0,0,0,0,0,0,0,0.0021965138716373,1.47921538229807,0.00463657676355891,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.149,0,0,0,0,0,0,0,0,0.0493580000944379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.2035,0,0.0613863580931572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.681,1.56731982637501,0,0,0,0,0,0,0,0.047187502484551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.994,0,0,0,0,0,0,0.00695957922551499,0,0,0,0,0.440779311888987,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_17.127,0,0,0,0,4.62326340874246,0,0,0.0726098260977552,0.00398258744410873,0,0,0,0,0,0,0,0,0.0257262238834734,0,0,0,0,0,0
evm.TU.HIC_ASM_5.1129,0,0,0,2.07649045877021,0,0.526139942794511,0.0449969524843995,0,0,0,0,0,0,0,0,0,0,0,0.0731095628444287,0.0526213167951984,0,0.0299555480107214,0,0.0517113015745768
evm.TU.HIC_ASM_6.1822,0,0.0144745603598121,0,0,0,0.0160074936593043,0.545384585013276,0,0.0302489602693484,0,0,0,0,0,0.00989509594037151,0,0,0,0,0,0,0,0,0
