"power","mean.k","R.squared"
2,65.0864884994068,0.524021747242887
3,61.4692918536393,0.530399839498167
4,60.1342390558472,0.539468097176839
5,59.1350984977206,0.545881502022013
6,58.2659890033715,0.551501674484639
7,57.4779926580798,0.556379136786299
8,56.7508736326626,0.560551691193158
9,56.0734617941203,0.564186517313231
10,55.4384117458723,0.567190823821323
11,54.8403248985908,0.569676031788991
12,54.2749533534374,0.569054886694604
13,53.7388146506707,0.57060637374932
14,53.2289814220588,0.57166986225858
15,52.742953239903,0.575008865817994
16,52.2785709707797,0.572724115824527
17,51.8339552735886,0.572760925103586
18,51.4074600762235,0.575200155323492
19,50.9976360852165,0.572169720721193
20,50.6032014432782,0.571579099920115
21,50.2230177223422,0.570901424582795
22,49.8560700365615,0.57016283678883
23,49.501450414826,0.572017234266082
24,49.1583437975982,0.571162061466887
25,48.8260161740711,0.567641163520447
26,48.5038044821251,0.566737472823895
27,48.1911079714376,0.568450133569252
28,47.8873807887569,0.56494844033241
29,47.5921255895407,0.566641843843274
30,47.3048880155642,0.563214915574356
