"","x"
"black","evm.TU.HIC_ASM_16.56"
"blue","evm.TU.ORIGINAL_153.17"
"brown","evm.TU.HIC_ASM_13.1266"
"cyan","evm.TU.FRAGSCAFF_78__FRAGMENT_1.1"
"green","evm.TU.HIC_ASM_18.1239"
"greenyellow","evm.TU.HIC_ASM_5.1198"
"lightcyan","evm.TU.ORIGINAL_376.2"
"magenta","evm.TU.HIC_ASM_6.3445"
"midnightblue","evm.TU.HIC_ASM_3.443"
"pink","evm.TU.HIC_ASM_9.1249"
"purple","evm.TU.HIC_ASM_4.316"
"red","evm.TU.HIC_ASM_8.915"
"salmon","evm.TU.HIC_ASM_1.503"
"tan","evm.TU.HIC_ASM_10.789"
"turquoise","evm.TU.HIC_ASM_14.703"
"yellow","PB.9670"
