Top 10 in network cyt_edges_brown.txt ranked by MCC method
Rank,Name,Score
1,evm.TU.ORIGINAL_113.11,2.807888722769653E19
2,evm.TU.HIC_ASM_9.495,2.1604180949286253E19
3,evm.TU.HIC_ASM_18.420,2.1368296236500865E19
4,evm.TU.HIC_ASM_2.893,1.8772245439767593E19
5,evm.TU.HIC_ASM_6.4154,1.771678285171135E19
6,evm.TU.HIC_ASM_9.1752,1.6968348225130596E19
7,PB.2901,1.4794155115110445E19
8,evm.TU.HIC_ASM_14.213,1.478221851202733E19
9,evm.TU.HIC_ASM_13.1298,1.4514951282357029E19
10,evm.TU.HIC_ASM_1.1850,1.4078392447637848E19
