GeneID	Module	ParentDir			black	2476
evm.TU.FRAGSCAFF_27__FRAGMENT_2.29	red	85			blue	1288
evm.TU.FRAGSCAFF_36.1	red	85			brown	646
evm.TU.FRAGSCAFF_57__FRAGMENT_2.17	red	85			cyan	118
evm.TU.HIC_ASM_0.1043	red	85			green	467
evm.TU.HIC_ASM_0.113	red	85			greenyellow	182
evm.TU.HIC_ASM_0.120	red	85			lightcyan	480
evm.TU.HIC_ASM_0.70	red	85			magenta	79
evm.TU.HIC_ASM_0.843	red	85			midnightblue	1795
evm.TU.HIC_ASM_0.902	red	85			pink	320
evm.TU.HIC_ASM_1.1981	red	85			purple	330
evm.TU.HIC_ASM_1.2671	red	85			red	120
evm.TU.HIC_ASM_1.374	red	85			salmon	116
evm.TU.HIC_ASM_1.538	red	85			tan	436
evm.TU.HIC_ASM_10.257	red	85			turquoise	380
evm.TU.HIC_ASM_10.261	red	85			yellow	107
evm.TU.HIC_ASM_10.287	red	85				
evm.TU.HIC_ASM_10.304	red	85				
evm.TU.HIC_ASM_10.450	red	85				
evm.TU.HIC_ASM_10.549	red	85				
evm.TU.HIC_ASM_10.686	red	85				
evm.TU.HIC_ASM_10.687	red	85				
evm.TU.HIC_ASM_10.804	red	85				
evm.TU.HIC_ASM_11.1007	red	85				
evm.TU.HIC_ASM_11.1272	red	85				
evm.TU.HIC_ASM_11.1401	red	85				
evm.TU.HIC_ASM_11.193	red	85				
evm.TU.HIC_ASM_11.477	red	85				
evm.TU.HIC_ASM_12.132	red	85				
evm.TU.HIC_ASM_12.437	red	85				
evm.TU.HIC_ASM_12.624	red	85				
evm.TU.HIC_ASM_13.1012	red	85				
evm.TU.HIC_ASM_13.1325	red	85				
evm.TU.HIC_ASM_13.411	red	85				
evm.TU.HIC_ASM_14.423	red	85				
evm.TU.HIC_ASM_14.625	red	85				
evm.TU.HIC_ASM_14.628	red	85				
evm.TU.HIC_ASM_14.683	red	85				
evm.TU.HIC_ASM_14.705	red	85				
evm.TU.HIC_ASM_14.706	red	85				
evm.TU.HIC_ASM_14.80	red	85				
