"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",57,6,0.105263157894737,FALSE
"black","Immature_xylem",57,57,1,TRUE
"black","Mature_xylem",57,3,0.0526315789473684,FALSE
"black","Phloem",57,1,0.0175438596491228,FALSE
"blue","Cabium",225,2,0.00888888888888889,FALSE
"blue","Immature_xylem",225,12,0.0533333333333333,FALSE
"blue","Mature_xylem",225,225,1,TRUE
"blue","Phloem",225,5,0.0222222222222222,FALSE
"brown","Cabium",184,0,0,FALSE
"brown","Immature_xylem",184,0,0,FALSE
"brown","Mature_xylem",184,0,0,FALSE
"brown","Phloem",184,0,0,FALSE
"green","Cabium",45,0,0,FALSE
"green","Immature_xylem",45,0,0,FALSE
"green","Mature_xylem",45,0,0,FALSE
"green","Phloem",45,0,0,FALSE
"greenyellow","Cabium",42,0,0,FALSE
"greenyellow","Immature_xylem",42,0,0,FALSE
"greenyellow","Mature_xylem",42,0,0,FALSE
"greenyellow","Phloem",42,0,0,FALSE
"magenta","Cabium",48,0,0,FALSE
"magenta","Immature_xylem",48,0,0,FALSE
"magenta","Mature_xylem",48,0,0,FALSE
"magenta","Phloem",48,0,0,FALSE
"pink","Cabium",104,104,1,TRUE
"pink","Immature_xylem",104,15,0.144230769230769,FALSE
"pink","Mature_xylem",104,3,0.0288461538461538,FALSE
"pink","Phloem",104,1,0.00961538461538462,FALSE
"purple","Cabium",139,0,0,FALSE
"purple","Immature_xylem",139,2,0.0143884892086331,FALSE
"purple","Mature_xylem",139,1,0.00719424460431655,FALSE
"purple","Phloem",139,139,1,TRUE
"red","Cabium",205,0,0,FALSE
"red","Immature_xylem",205,2,0.00975609756097561,FALSE
"red","Mature_xylem",205,4,0.0195121951219512,FALSE
"red","Phloem",205,2,0.00975609756097561,FALSE
"salmon","Cabium",179,0,0,FALSE
"salmon","Immature_xylem",179,0,0,FALSE
"salmon","Mature_xylem",179,0,0,FALSE
"salmon","Phloem",179,0,0,FALSE
"tan","Cabium",260,0,0,FALSE
"tan","Immature_xylem",260,0,0,FALSE
"tan","Mature_xylem",260,0,0,FALSE
"tan","Phloem",260,0,0,FALSE
"turquoise","Cabium",121,0,0,FALSE
"turquoise","Immature_xylem",121,0,0,FALSE
"turquoise","Mature_xylem",121,0,0,FALSE
"turquoise","Phloem",121,0,0,FALSE
"yellow","Cabium",174,0,0,FALSE
"yellow","Immature_xylem",174,0,0,FALSE
"yellow","Mature_xylem",174,0,0,FALSE
"yellow","Phloem",174,0,0,FALSE
