"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",53,0,0,FALSE
"black","Immature_xylem",53,0,0,FALSE
"black","Mature_xylem",53,0,0,FALSE
"black","Phloem",53,0,0,FALSE
"blue","Cabium",51,0,0,FALSE
"blue","Immature_xylem",51,0,0,FALSE
"blue","Mature_xylem",51,0,0,FALSE
"blue","Phloem",51,0,0,FALSE
"brown","Cabium",51,0,0,FALSE
"brown","Immature_xylem",51,0,0,FALSE
"brown","Mature_xylem",51,0,0,FALSE
"brown","Phloem",51,0,0,FALSE
"green","Cabium",208,24,0.115384615384615,FALSE
"green","Immature_xylem",208,27,0.129807692307692,FALSE
"green","Mature_xylem",208,0,0,FALSE
"green","Phloem",208,0,0,FALSE
"pink","Cabium",47,0,0,FALSE
"pink","Immature_xylem",47,0,0,FALSE
"pink","Mature_xylem",47,47,1,TRUE
"pink","Phloem",47,0,0,FALSE
"red","Cabium",35,0,0,FALSE
"red","Immature_xylem",35,0,0,FALSE
"red","Mature_xylem",35,0,0,FALSE
"red","Phloem",35,35,1,TRUE
"turquoise","Cabium",34,0,0,FALSE
"turquoise","Immature_xylem",34,0,0,FALSE
"turquoise","Mature_xylem",34,0,0,FALSE
"turquoise","Phloem",34,0,0,FALSE
"yellow","Cabium",38,0,0,FALSE
"yellow","Immature_xylem",38,0,0,FALSE
"yellow","Mature_xylem",38,0,0,FALSE
"yellow","Phloem",38,0,0,FALSE
