Gene,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.HIC_ASM_0.243,0,0,0,0,0,0,0,0.106949485137925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322814332968107,0.0310558929470082,0,0,0,0,0
evm.TU.HIC_ASM_11.166,0.759182258105555,0,0,0,0.0138376397005443,0.0254040122965876,0.0741902833690255,0,4.74423728346807,0,0.42948242190052,0.193331036977195,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.138,5.71303776506171,0,0,0,0,0,0.0251304062698342,0,1.21984608608716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.178,0,0,0.372976606808588,0.0301453545475445,0,0,0,0,0.0200154422230041,0.0451479709770921,0,0.024488952575513,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1591,0,0,0,0,0,0,0,0,0,0.0192839284480891,0.163134577150194,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.1239,0,0.046055846160404,0,0.0154514203996504,2.20830759276423,0,0,0.175420273620247,0,0.0881538115448428,0.443181913640128,0.0259302857953319,0.0140843451195865,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_4.1299,0,0,0.0548220881085228,0,0,0.326634367844854,0.71601194334941,0,0.6692073179301,0,0.0355493099121074,3.63447683407587,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.1129,0,0,0,2.07649045877021,0,0.526139942794511,0.0449969524843995,0,0,0,0,0,0,0,0,0,0,0,0.0731095628444287,0.0526213167951984,0,0.0299555480107214,0,0.0517113015745768
evm.TU.HIC_ASM_6.2226,0.0246196775016338,0,0,0,0,0.0165676327674142,0.745827916207694,0,0.190021437508424,0,0,0.160094940973936,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3445,0,0,0,0.0192080048224279,0,1.55960471197218,0.255951045968327,0,0,0,0,0.165417614424326,0.0334321642738039,0.02053230770825,0.0192298329359395,0,0.0106471376416245,0.0234048780290913,0.0332789740010392,0,0,0.0106184956154116,0.0224019046192325,0
PB.13228,0.0202674965650156,2.25828373268219,0,0.0573153259699639,0.190981833886852,0.0417882711715202,0.39964580596455,0.975926300501696,0.318393976235545,0.143624162217813,0.198686081546363,0.231391445895577,0.101200031609175,0.110307111474828,0.0499113801625823,0.0401377546249839,0.0347561555822312,0.179313157539701,0.00731177363241273,0.0395983921520631,0,0.0665829235077642,0.155323526921965,0
PB.3497,0.040349608752906,0.0490061616374725,0,0.0370391677334026,0.0515823126552925,0.0127216947500276,0,0.0102747469400523,0.00808524780452034,2.64159288516569,0.538730178775635,0.0635949777917644,0.00820575189387152,0,0,0,0.00314501051339007,0.0111053327436735,0,0.0116459117446774,0.0068518937901006,0,0.00998965987202694,0
