"power","mean.k","R.squared"
2,287.41161645421,0.387177738934076
3,199.544568805875,0.370244247109987
4,157.11366839523,0.402064870460083
5,130.773860807345,0.438694164060754
6,112.361563324824,0.471216599718052
7,98.6059191679905,0.497719822862996
8,87.8815939533346,0.519848340718373
9,79.2670156910828,0.538193535043559
10,72.1912343113969,0.554226827448394
11,66.277325559147,0.568455469015073
12,61.26435295909,0.581584804347852
13,56.9649330979277,0.593721703266797
14,53.2405347187665,0.605400098641791
15,49.9862960390793,0.61624633160437
16,47.1212707345475,0.624410508051563
17,44.5819293948564,0.636850802728401
18,42.317696649567,0.646015973339329
19,40.2878068531686,0.655628952856478
20,38.4590397839007,0.664164967694997
21,36.8040589380474,0.675693858246385
22,35.3001717268406,0.683705915185395
23,33.9283908565891,0.691429204926651
24,32.6727144262104,0.698899734634209
25,31.5195672914854,0.706114826133555
26,30.4573629681415,0.713081083327772
27,29.476156746714,0.719800552016036
28,28.5673686025276,0.726271656148908
29,27.7235600602455,0.732520263649441
30,26.9382531598323,0.738527502908262
