"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",1200,47,0.0391666666666667,FALSE
"black","Immature_xylem",1200,48,0.04,FALSE
"black","Mature_xylem",1200,128,0.106666666666667,FALSE
"black","Phloem",1200,168,0.14,FALSE
"blue","Cabium",734,1,0.00136239782016349,FALSE
"blue","Immature_xylem",734,0,0,FALSE
"blue","Mature_xylem",734,0,0,FALSE
"blue","Phloem",734,0,0,FALSE
"brown","Cabium",641,0,0,FALSE
"brown","Immature_xylem",641,0,0,FALSE
"brown","Mature_xylem",641,0,0,FALSE
"brown","Phloem",641,0,0,FALSE
"cyan","Cabium",109,2,0.018348623853211,FALSE
"cyan","Immature_xylem",109,107,0.981651376146789,TRUE
"cyan","Mature_xylem",109,22,0.201834862385321,TRUE
"cyan","Phloem",109,4,0.036697247706422,FALSE
"green","Cabium",448,9,0.0200892857142857,FALSE
"green","Immature_xylem",448,33,0.0736607142857143,FALSE
"green","Mature_xylem",448,415,0.926339285714286,TRUE
"green","Phloem",448,14,0.03125,FALSE
"greenyellow","Cabium",181,181,1,TRUE
"greenyellow","Immature_xylem",181,12,0.0662983425414365,FALSE
"greenyellow","Mature_xylem",181,26,0.143646408839779,FALSE
"greenyellow","Phloem",181,4,0.0220994475138122,FALSE
"lightcyan","Cabium",572,10,0.0174825174825175,FALSE
"lightcyan","Immature_xylem",572,13,0.0227272727272727,FALSE
"lightcyan","Mature_xylem",572,15,0.0262237762237762,FALSE
"lightcyan","Phloem",572,463,0.809440559440559,TRUE
"magenta","Cabium",32,0,0,FALSE
"magenta","Immature_xylem",32,0,0,FALSE
"magenta","Mature_xylem",32,0,0,FALSE
"magenta","Phloem",32,0,0,FALSE
"midnightblue","Cabium",932,813,0.872317596566524,TRUE
"midnightblue","Immature_xylem",932,803,0.861587982832618,TRUE
"midnightblue","Mature_xylem",932,321,0.344420600858369,TRUE
"midnightblue","Phloem",932,7,0.00751072961373391,FALSE
"pink","Cabium",276,0,0,FALSE
"pink","Immature_xylem",276,0,0,FALSE
"pink","Mature_xylem",276,0,0,FALSE
"pink","Phloem",276,7,0.0253623188405797,FALSE
"purple","Cabium",290,0,0,FALSE
"purple","Immature_xylem",290,1,0.00344827586206897,FALSE
"purple","Mature_xylem",290,0,0,FALSE
"purple","Phloem",290,0,0,FALSE
"red","Cabium",128,0,0,FALSE
"red","Immature_xylem",128,0,0,FALSE
"red","Mature_xylem",128,0,0,FALSE
"red","Phloem",128,5,0.0390625,FALSE
"salmon","Cabium",101,0,0,FALSE
"salmon","Immature_xylem",101,0,0,FALSE
"salmon","Mature_xylem",101,1,0.0099009900990099,FALSE
"salmon","Phloem",101,0,0,FALSE
"tan","Cabium",382,0,0,FALSE
"tan","Immature_xylem",382,1,0.00261780104712042,FALSE
"tan","Mature_xylem",382,0,0,FALSE
"tan","Phloem",382,0,0,FALSE
"turquoise","Cabium",305,0,0,FALSE
"turquoise","Immature_xylem",305,0,0,FALSE
"turquoise","Mature_xylem",305,1,0.00327868852459016,FALSE
"turquoise","Phloem",305,0,0,FALSE
"yellow","Cabium",99,0,0,FALSE
"yellow","Immature_xylem",99,0,0,FALSE
"yellow","Mature_xylem",99,0,0,FALSE
"yellow","Phloem",99,0,0,FALSE
