"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",67,0,0,FALSE
"black","Immature_xylem",67,67,1,TRUE
"black","Mature_xylem",67,7,0.104477611940299,FALSE
"black","Phloem",67,1,0.0149253731343284,FALSE
"blue","Cabium",277,5,0.0180505415162455,FALSE
"blue","Immature_xylem",277,19,0.0685920577617329,FALSE
"blue","Mature_xylem",277,276,0.996389891696751,TRUE
"blue","Phloem",277,8,0.0288808664259928,FALSE
"brown","Cabium",254,0,0,FALSE
"brown","Immature_xylem",254,0,0,FALSE
"brown","Mature_xylem",254,0,0,FALSE
"brown","Phloem",254,0,0,FALSE
"green","Cabium",60,0,0,FALSE
"green","Immature_xylem",60,0,0,FALSE
"green","Mature_xylem",60,0,0,FALSE
"green","Phloem",60,0,0,FALSE
"greenyellow","Cabium",54,0,0,FALSE
"greenyellow","Immature_xylem",54,0,0,FALSE
"greenyellow","Mature_xylem",54,0,0,FALSE
"greenyellow","Phloem",54,0,0,FALSE
"magenta","Cabium",62,0,0,FALSE
"magenta","Immature_xylem",62,0,0,FALSE
"magenta","Mature_xylem",62,0,0,FALSE
"magenta","Phloem",62,1,0.0161290322580645,FALSE
"pink","Cabium",179,179,1,TRUE
"pink","Immature_xylem",179,74,0.41340782122905,TRUE
"pink","Mature_xylem",179,7,0.0391061452513966,FALSE
"pink","Phloem",179,2,0.0111731843575419,FALSE
"purple","Cabium",186,2,0.010752688172043,FALSE
"purple","Immature_xylem",186,2,0.010752688172043,FALSE
"purple","Mature_xylem",186,0,0,FALSE
"purple","Phloem",186,184,0.989247311827957,TRUE
"red","Cabium",272,1,0.00367647058823529,FALSE
"red","Immature_xylem",272,5,0.0183823529411765,FALSE
"red","Mature_xylem",272,8,0.0294117647058824,FALSE
"red","Phloem",272,11,0.0404411764705882,FALSE
"salmon","Cabium",231,0,0,FALSE
"salmon","Immature_xylem",231,0,0,FALSE
"salmon","Mature_xylem",231,0,0,FALSE
"salmon","Phloem",231,0,0,FALSE
"tan","Cabium",327,0,0,FALSE
"tan","Immature_xylem",327,0,0,FALSE
"tan","Mature_xylem",327,1,0.00305810397553517,FALSE
"tan","Phloem",327,0,0,FALSE
"turquoise","Cabium",181,0,0,FALSE
"turquoise","Immature_xylem",181,0,0,FALSE
"turquoise","Mature_xylem",181,0,0,FALSE
"turquoise","Phloem",181,0,0,FALSE
"yellow","Cabium",217,0,0,FALSE
"yellow","Immature_xylem",217,0,0,FALSE
"yellow","Mature_xylem",217,0,0,FALSE
"yellow","Phloem",217,0,0,FALSE
