GeneID	Module	ParentDir			black	39
evm.TU.FRAGSCAFF_104__FRAGMENT_2.3	green	99			blue	90
evm.TU.FRAGSCAFF_44__FRAGMENT_2.45	green	99			brown	84
evm.TU.FRAGSCAFF_57__FRAGMENT_2.42	green	99			cyan	0
evm.TU.FRAGSCAFF_58__FRAGMENT_1.3	green	99			green	186
evm.TU.FRAGSCAFF_70__FRAGMENT_2.1	green	99			greenyellow	0
evm.TU.FRAGSCAFF_78__FRAGMENT_1.7	green	99			lightcyan	0
evm.TU.HIC_ASM_0.102	green	99			magenta	123
evm.TU.HIC_ASM_0.146	green	99			midnightblue	0
evm.TU.HIC_ASM_0.247	green	99			pink	50
evm.TU.HIC_ASM_0.311	green	99			purple	80
evm.TU.HIC_ASM_0.464	green	99			red	32
evm.TU.HIC_ASM_0.612	green	99			salmon	0
evm.TU.HIC_ASM_0.797	green	99			tan	0
evm.TU.HIC_ASM_1.1051	green	99			turquoise	50
evm.TU.HIC_ASM_1.1442	green	99			yellow	79
evm.TU.HIC_ASM_1.1608	green	99				
evm.TU.HIC_ASM_1.1884	green	99				
evm.TU.HIC_ASM_1.189	green	99				
evm.TU.HIC_ASM_1.2201	green	99				
evm.TU.HIC_ASM_1.2420	green	99				
evm.TU.HIC_ASM_1.862	green	99				
evm.TU.HIC_ASM_10.219	green	99				
evm.TU.HIC_ASM_10.315	green	99				
evm.TU.HIC_ASM_10.476	green	99				
evm.TU.HIC_ASM_10.619	green	99				
evm.TU.HIC_ASM_11.1175	green	99				
evm.TU.HIC_ASM_11.1310	green	99				
evm.TU.HIC_ASM_11.1313	green	99				
evm.TU.HIC_ASM_11.1334	green	99				
evm.TU.HIC_ASM_11.2	green	99				
evm.TU.HIC_ASM_11.22	green	99				
evm.TU.HIC_ASM_11.695	green	99				
evm.TU.HIC_ASM_11.72	green	99				
evm.TU.HIC_ASM_11.885	green	99				
evm.TU.HIC_ASM_12.1105	green	99				
evm.TU.HIC_ASM_12.196	green	99				
evm.TU.HIC_ASM_12.221	green	99				
evm.TU.HIC_ASM_12.379	green	99				
evm.TU.HIC_ASM_12.77	green	99				
evm.TU.HIC_ASM_12.973	green	99				
evm.TU.HIC_ASM_13.1116	green	99				
evm.TU.HIC_ASM_13.1252	green	99				
evm.TU.HIC_ASM_13.1296	green	99				
evm.TU.HIC_ASM_13.293	green	99				
evm.TU.HIC_ASM_13.999	green	99				
evm.TU.HIC_ASM_14.271	green	99				
evm.TU.HIC_ASM_14.285	green	99				
evm.TU.HIC_ASM_14.670	green	99				
evm.TU.HIC_ASM_14.744	green	99				
evm.TU.HIC_ASM_14.786	green	99				
evm.TU.HIC_ASM_15.1271	green	99				
evm.TU.HIC_ASM_15.169	green	99				
evm.TU.HIC_ASM_15.2245	green	99				
evm.TU.HIC_ASM_15.2309	green	99				
evm.TU.HIC_ASM_15.2467	green	99				
evm.TU.HIC_ASM_15.2516	green	99				
evm.TU.HIC_ASM_15.533	green	99				
evm.TU.HIC_ASM_15.973	green	99				
evm.TU.HIC_ASM_16.1194	green	99				
evm.TU.HIC_ASM_16.1403	green	99				
evm.TU.HIC_ASM_16.192	green	99				
evm.TU.HIC_ASM_16.327	green	99				
evm.TU.HIC_ASM_16.431	green	99				
evm.TU.HIC_ASM_16.674	green	99				
evm.TU.HIC_ASM_16.688	green	99				
evm.TU.HIC_ASM_16.989	green	99				
evm.TU.HIC_ASM_17.1026	green	99				
evm.TU.HIC_ASM_17.1349	green	99				
