fromNode	toNode	weight	direction	fromAltName	toAltName
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.FRAGSCAFF_27__FRAGMENT_2.3	0.834308549684551	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.FRAGSCAFF_44__FRAGMENT_2.23	0.778825115932262	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_0.209	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_0.435	0.79572366281823	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_0.509	0.471626117899155	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_0.585	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_0.590	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.110	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.1475	0.746900486858879	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.1850	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.2536	0.882441059242287	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.291	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.336	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_1.681	0.932159579470118	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_12.137	0.319640411036949	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_12.138	0.66566099939366	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_12.312	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_12.800	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1196	0.929166971779836	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1197	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1198	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1265	0.932593636902807	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1266	0.530422878636543	undirected	NA	NA
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	evm.TU.HIC_ASM_13.1298	0.932593636902807	undirected	NA	NA
