"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",78,0,0,FALSE
"black","Immature_xylem",78,77,0.987179487179487,TRUE
"black","Mature_xylem",78,9,0.115384615384615,FALSE
"black","Phloem",78,2,0.0256410256410256,FALSE
"blue","Cabium",346,0,0,FALSE
"blue","Immature_xylem",346,0,0,FALSE
"blue","Mature_xylem",346,0,0,FALSE
"blue","Phloem",346,0,0,FALSE
"brown","Cabium",334,8,0.0239520958083832,FALSE
"brown","Immature_xylem",334,29,0.0868263473053892,FALSE
"brown","Mature_xylem",334,327,0.979041916167665,TRUE
"brown","Phloem",334,13,0.0389221556886228,FALSE
"green","Cabium",71,0,0,FALSE
"green","Immature_xylem",71,0,0,FALSE
"green","Mature_xylem",71,0,0,FALSE
"green","Phloem",71,0,0,FALSE
"greenyellow","Cabium",63,0,0,FALSE
"greenyellow","Immature_xylem",63,0,0,FALSE
"greenyellow","Mature_xylem",63,0,0,FALSE
"greenyellow","Phloem",63,0,0,FALSE
"magenta","Cabium",76,0,0,FALSE
"magenta","Immature_xylem",76,0,0,FALSE
"magenta","Mature_xylem",76,0,0,FALSE
"magenta","Phloem",76,2,0.0263157894736842,FALSE
"pink","Cabium",222,0,0,FALSE
"pink","Immature_xylem",222,0,0,FALSE
"pink","Mature_xylem",222,0,0,FALSE
"pink","Phloem",222,3,0.0135135135135135,FALSE
"purple","Cabium",269,0,0,FALSE
"purple","Immature_xylem",269,0,0,FALSE
"purple","Mature_xylem",269,0,0,FALSE
"purple","Phloem",269,9,0.033457249070632,FALSE
"red","Cabium",366,1,0.00273224043715847,FALSE
"red","Immature_xylem",366,7,0.0191256830601093,FALSE
"red","Mature_xylem",366,21,0.0573770491803279,FALSE
"red","Phloem",366,24,0.0655737704918033,FALSE
"salmon","Cabium",323,316,0.978328173374613,TRUE
"salmon","Immature_xylem",323,189,0.585139318885449,TRUE
"salmon","Mature_xylem",323,32,0.0990712074303406,FALSE
"salmon","Phloem",323,2,0.00619195046439629,FALSE
"tan","Cabium",399,0,0,FALSE
"tan","Immature_xylem",399,0,0,FALSE
"tan","Mature_xylem",399,2,0.0050125313283208,FALSE
"tan","Phloem",399,0,0,FALSE
"turquoise","Cabium",222,4,0.018018018018018,FALSE
"turquoise","Immature_xylem",222,3,0.0135135135135135,FALSE
"turquoise","Mature_xylem",222,1,0.0045045045045045,FALSE
"turquoise","Phloem",222,222,1,TRUE
"yellow","Cabium",275,0,0,FALSE
"yellow","Immature_xylem",275,0,0,FALSE
"yellow","Mature_xylem",275,0,0,FALSE
"yellow","Phloem",275,0,0,FALSE
