"power","mean.k","R.squared"
2,33.4748019144914,0.581765971715221
3,32.6006620628872,0.570365017823178
4,32.5626559823827,0.569799808768788
5,32.5610035440999,0.569775075818639
6,32.5609316989572,0.569774000170297
7,32.5609285752553,0.569773953402406
8,32.5609284394422,0.569773951369018
9,32.5609284335373,0.56977395128061
10,32.5609284332805,0.569773951276766
11,32.5609284332694,0.569773951276599
12,32.5609284332689,0.569773951276592
13,32.5609284332689,0.569773951276592
14,32.5609284332689,0.569773951276592
15,32.5609284332689,0.569773951276592
16,32.5609284332689,0.569773951276592
17,32.5609284332689,0.569773951276592
18,32.5609284332689,0.569773951276592
19,32.5609284332689,0.569773951276592
20,32.5609284332689,0.569773951276592
21,32.5609284332689,0.569773951276592
22,32.5609284332689,0.569773951276592
23,32.5609284332689,0.569773951276592
24,32.5609284332689,0.569773951276592
25,32.5609284332689,0.569773951276592
26,32.5609284332689,0.569773951276592
27,32.5609284332689,0.569773951276592
28,32.5609284332689,0.569773951276592
29,32.5609284332689,0.569773951276592
30,32.5609284332689,0.569773951276592
