Gene,Module,Stability,kME
evm.TU.FRAGSCAFF_44__FRAGMENT_2.45,green,1,-0.0364668816363058
evm.TU.FRAGSCAFF_57__FRAGMENT_2.42,green,1,-0.0757550776747198
evm.TU.FRAGSCAFF_70__FRAGMENT_2.1,green,1,-0.0418993561625171
evm.TU.FRAGSCAFF_78__FRAGMENT_1.7,green,1,-0.0757550776747198
evm.TU.HIC_ASM_0.102,green,1,-0.0275400851103895
evm.TU.HIC_ASM_0.247,green,1,-0.038994824933114
evm.TU.HIC_ASM_0.612,green,1,-0.0757550776747198
evm.TU.HIC_ASM_0.797,green,1,-0.0305294274953115
evm.TU.HIC_ASM_1.1051,green,1,-0.0757550776747198
evm.TU.HIC_ASM_1.1442,green,1,-0.0364668816363058
evm.TU.HIC_ASM_1.1608,green,1,-0.0452713982263761
evm.TU.HIC_ASM_1.1884,green,1,-0.0757550776747204
evm.TU.HIC_ASM_1.189,green,1,-0.028957812589245
evm.TU.HIC_ASM_1.2201,green,1,-0.028957812589245
evm.TU.HIC_ASM_1.2420,green,1,-0.0322814232955457
evm.TU.HIC_ASM_1.862,green,1,-0.0757550776747204
evm.TU.HIC_ASM_10.219,green,1,-0.0757550776747198
evm.TU.HIC_ASM_10.315,green,1,-0.0305294274953115
evm.TU.HIC_ASM_10.476,green,1,-0.0539561302892038
evm.TU.HIC_ASM_10.619,green,1,-0.0539561302892038
evm.TU.HIC_ASM_11.1175,green,1,-0.0418993561625171
evm.TU.HIC_ASM_11.1310,green,1,-0.0757550776747198
evm.TU.HIC_ASM_11.1313,green,1,-0.0452713982263761
evm.TU.HIC_ASM_11.1334,green,1,-0.0757550776747198
evm.TU.HIC_ASM_11.2,green,1,-0.0322814232955457
evm.TU.HIC_ASM_11.22,green,1,-0.038994824933114
evm.TU.HIC_ASM_11.695,green,1,-0.038994824933114
evm.TU.HIC_ASM_11.72,green,1,-0.0757550776747204
evm.TU.HIC_ASM_11.885,green,1,-0.0452713982263761
evm.TU.HIC_ASM_12.196,green,1,-0.0322814232955456
evm.TU.HIC_ASM_12.221,green,1,-0.038994824933114
evm.TU.HIC_ASM_12.77,green,1,-0.0240131505454351
evm.TU.HIC_ASM_12.973,green,1,-0.0757550776747204
evm.TU.HIC_ASM_13.1116,green,1,-0.0240131505454351
evm.TU.HIC_ASM_13.1252,green,1,-0.0275400851103895
evm.TU.HIC_ASM_14.271,green,1,-0.0539561302892038
evm.TU.HIC_ASM_14.285,green,1,-0.0275400851103895
evm.TU.HIC_ASM_14.670,green,1,-0.0757550776747198
evm.TU.HIC_ASM_14.744,green,1,-0.0452713982263761
evm.TU.HIC_ASM_14.786,green,1,-0.0539561302892038
evm.TU.HIC_ASM_15.1271,green,1,-0.0322814232955456
evm.TU.HIC_ASM_15.169,green,1,-0.0364668816363058
evm.TU.HIC_ASM_15.2245,green,1,-0.038994824933114
evm.TU.HIC_ASM_15.2309,green,1,-0.0305294274953116
evm.TU.HIC_ASM_15.2516,green,1,-0.0322814232955457
evm.TU.HIC_ASM_15.533,green,1,-0.0305294274953115
evm.TU.HIC_ASM_16.1194,green,1,-0.0418993561625171
evm.TU.HIC_ASM_16.1403,green,1,-0.0364668816363058
evm.TU.HIC_ASM_16.192,green,1,-0.0539561302892038
evm.TU.HIC_ASM_16.327,green,1,-0.0539561302892038
evm.TU.HIC_ASM_16.431,green,1,-0.0539561302892038
evm.TU.HIC_ASM_16.674,green,1,-0.0364668816363058
evm.TU.HIC_ASM_16.688,green,1,-0.0452713982263761
evm.TU.HIC_ASM_16.989,green,1,-0.0240131505454351
evm.TU.HIC_ASM_17.1026,green,1,-0.0305294274953115
evm.TU.HIC_ASM_17.1349,green,1,-0.028957812589245
evm.TU.HIC_ASM_17.1402,green,1,-0.028957812589245
evm.TU.HIC_ASM_17.1438,green,1,-0.0757550776747204
evm.TU.HIC_ASM_17.432,green,1,-0.0418993561625171
evm.TU.HIC_ASM_17.617,green,1,-0.038994824933114
evm.TU.HIC_ASM_17.901,green,1,-0.0322814232955457
evm.TU.HIC_ASM_18.392,green,1,-0.0305294274953116
evm.TU.HIC_ASM_18.864,green,1,-0.0275400851103895
evm.TU.HIC_ASM_2.1042,green,1,-0.0757550776747204
evm.TU.HIC_ASM_2.1045,green,1,-0.0539561302892038
evm.TU.HIC_ASM_2.409,green,1,-0.0322814232955456
evm.TU.HIC_ASM_2.576,green,1,-0.0757550776747204
evm.TU.HIC_ASM_3.1245,green,1,-0.0305294274953116
evm.TU.HIC_ASM_3.136,green,1,-0.0322814232955456
evm.TU.HIC_ASM_3.142,green,1,-0.0452713982263761
evm.TU.HIC_ASM_3.181,green,1,-0.0757550776747198
evm.TU.HIC_ASM_3.1998,green,1,-0.0418993561625171
evm.TU.HIC_ASM_3.477,green,1,-0.0539561302892038
evm.TU.HIC_ASM_3.538,green,1,-0.0539561302892038
evm.TU.HIC_ASM_3.617,green,1,-0.0452713982263761
evm.TU.HIC_ASM_3.917,green,1,-0.0364668816363058
evm.TU.HIC_ASM_4.1405,green,1,-0.0418993561625171
evm.TU.HIC_ASM_4.1515,green,1,-0.0757550776747204
evm.TU.HIC_ASM_4.1523,green,1,-0.0322814232955456
evm.TU.HIC_ASM_4.1688,green,1,-0.0757550776747204
evm.TU.HIC_ASM_4.1715,green,1,-0.0305294274953116
evm.TU.HIC_ASM_4.1740,green,1,-0.0757550776747198
evm.TU.HIC_ASM_4.294,green,1,-0.038994824933114
evm.TU.HIC_ASM_4.414,green,1,-0.0305294274953116
evm.TU.HIC_ASM_4.475,green,1,-0.0757550776747204
evm.TU.HIC_ASM_4.875,green,1,-0.0757550776747204
evm.TU.HIC_ASM_5.260,green,1,-0.0418993561625171
evm.TU.HIC_ASM_5.458,green,1,-0.0452713982263761
evm.TU.HIC_ASM_6.1438,green,1,-0.0305294274953115
evm.TU.HIC_ASM_6.1640,green,1,-0.0322814232955456
evm.TU.HIC_ASM_6.177,green,1,-0.028957812589245
evm.TU.HIC_ASM_6.1957,green,1,-0.0322814232955456
evm.TU.HIC_ASM_6.1993,green,1,-0.0322814232955457
evm.TU.HIC_ASM_6.200,green,1,-0.0305294274953115
evm.TU.HIC_ASM_6.2095,green,1,-0.028957812589245
evm.TU.HIC_ASM_6.2098,green,1,-0.0322814232955456
evm.TU.HIC_ASM_6.2164,green,1,-0.0364668816363058
evm.TU.HIC_ASM_6.2386,green,1,-0.0418993561625171
evm.TU.HIC_ASM_6.2534,green,1,-0.0322814232955457
evm.TU.HIC_ASM_6.3091,green,1,-0.0452713982263761
evm.TU.HIC_ASM_6.3100,green,1,-0.0240131505454351
evm.TU.HIC_ASM_6.3122,green,1,-0.0757550776747198
evm.TU.HIC_ASM_6.3161,green,1,-0.0364668816363058
evm.TU.HIC_ASM_6.320,green,1,-0.0418993561625171
evm.TU.HIC_ASM_6.3206,green,1,-0.0275400851103895
evm.TU.HIC_ASM_6.3886,green,1,-0.0452713982263761
evm.TU.HIC_ASM_6.4137,green,1,-0.0322814232955457
evm.TU.HIC_ASM_7.1829,green,1,-0.0305294274953115
evm.TU.HIC_ASM_7.2022,green,1,-0.0757550776747198
evm.TU.HIC_ASM_7.2083,green,1,-0.0757550776747204
evm.TU.HIC_ASM_7.251,green,1,-0.0539561302892038
evm.TU.HIC_ASM_7.470,green,1,-0.0757550776747198
evm.TU.HIC_ASM_7.562,green,1,-0.0305294274953115
evm.TU.HIC_ASM_7.707,green,1,-0.0757550776747198
evm.TU.HIC_ASM_7.890,green,1,-0.038994824933114
evm.TU.HIC_ASM_7.90,green,1,-0.038994824933114
evm.TU.HIC_ASM_7.904,green,1,-0.0757550776747198
evm.TU.HIC_ASM_8.1101,green,1,-0.0364668816363058
evm.TU.HIC_ASM_8.1182,green,1,-0.0757550776747204
evm.TU.HIC_ASM_8.1212,green,1,-0.0757550776747198
evm.TU.HIC_ASM_8.1425,green,1,-0.0240131505454351
evm.TU.HIC_ASM_8.1435,green,1,-0.0240131505454351
evm.TU.HIC_ASM_8.1575,green,1,-0.0539561302892038
evm.TU.HIC_ASM_8.302,green,1,-0.0418993561625171
evm.TU.HIC_ASM_8.363,green,1,-0.0757550776747204
evm.TU.HIC_ASM_8.476,green,1,-0.0539561302892038
evm.TU.HIC_ASM_8.591,green,1,-0.0757550776747204
evm.TU.HIC_ASM_8.70,green,1,-0.0364668816363058
evm.TU.HIC_ASM_8.889,green,1,-0.0305294274953116
evm.TU.HIC_ASM_8.899,green,1,-0.0539561302892038
evm.TU.HIC_ASM_9.1617,green,1,-0.0757550776747198
evm.TU.HIC_ASM_9.1762,green,1,-0.028957812589245
evm.TU.HIC_ASM_9.1849,green,1,-0.0452713982263761
