"power","mean.k","R.squared"
2,763.021572180096,0.465723104429721
3,470.750134702484,0.427587499792808
4,330.009766862232,0.430962860322397
5,248.356211822682,0.445045348754321
6,195.640122209586,0.460849397754692
7,159.185196837548,0.476097892487623
8,132.726074338814,0.490322788423645
9,112.813452413759,0.503780551839528
10,97.3968852560282,0.516756870096389
11,85.1850413334209,0.529449278539651
12,75.3270159672302,0.542127442255842
13,67.2412284737785,0.554829357546895
14,60.5179601328314,0.567682808151288
15,54.8611047502968,0.580910576871213
16,50.0519358841849,0.595161176740996
17,45.9257941183236,0.60929530627541
18,42.35664565158,0.623026761052252
19,39.2465933692433,0.636486114109691
20,36.5185925144832,0.649366027389645
21,34.1112916885158,0.661465830649227
22,31.9753145287043,0.673839399255091
23,30.0705372180246,0.686018048926361
24,28.3640665324346,0.697159770453393
25,26.8287185913048,0.707941743817712
26,25.4418606941807,0.718363911082296
27,24.1845199554574,0.728428593074519
28,23.0406903787002,0.738121979046592
29,21.9967891883365,0.747459526235543
30,21.0412265945583,0.756456091903384
