"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",39,39,1,TRUE
"black","Immature_xylem",39,0,0,FALSE
"black","Mature_xylem",39,0,0,FALSE
"black","Phloem",39,0,0,FALSE
"blue","Cabium",90,0,0,FALSE
"blue","Immature_xylem",90,1,0.0111111111111111,FALSE
"blue","Mature_xylem",90,90,1,TRUE
"blue","Phloem",90,0,0,FALSE
"brown","Cabium",84,0,0,FALSE
"brown","Immature_xylem",84,0,0,FALSE
"brown","Mature_xylem",84,0,0,FALSE
"brown","Phloem",84,0,0,FALSE
"green","Cabium",186,0,0,FALSE
"green","Immature_xylem",186,0,0,FALSE
"green","Mature_xylem",186,0,0,FALSE
"green","Phloem",186,0,0,FALSE
"magenta","Cabium",123,0,0,FALSE
"magenta","Immature_xylem",123,0,0,FALSE
"magenta","Mature_xylem",123,0,0,FALSE
"magenta","Phloem",123,0,0,FALSE
"pink","Cabium",50,0,0,FALSE
"pink","Immature_xylem",50,0,0,FALSE
"pink","Mature_xylem",50,0,0,FALSE
"pink","Phloem",50,0,0,FALSE
"purple","Cabium",80,0,0,FALSE
"purple","Immature_xylem",80,0,0,FALSE
"purple","Mature_xylem",80,0,0,FALSE
"purple","Phloem",80,0,0,FALSE
"red","Cabium",32,0,0,FALSE
"red","Immature_xylem",32,32,1,TRUE
"red","Mature_xylem",32,0,0,FALSE
"red","Phloem",32,0,0,FALSE
"turquoise","Cabium",50,0,0,FALSE
"turquoise","Immature_xylem",50,0,0,FALSE
"turquoise","Mature_xylem",50,0,0,FALSE
"turquoise","Phloem",50,50,1,TRUE
"yellow","Cabium",79,0,0,FALSE
"yellow","Immature_xylem",79,0,0,FALSE
"yellow","Mature_xylem",79,0,0,FALSE
"yellow","Phloem",79,0,0,FALSE
