Top 10 in network cyt_edges_green.txt ranked by MCC method
Rank,Name,Score
1,evm.TU.HIC_ASM_0.257,3.357404771283763E19
1,evm.TU.HIC_ASM_1.565,3.357404771283763E19
1,evm.TU.HIC_ASM_10.491,3.357404771283763E19
1,evm.TU.HIC_ASM_14.485,3.357404771283763E19
1,evm.TU.HIC_ASM_15.1637,3.357404771283763E19
1,evm.TU.HIC_ASM_16.503,3.357404771283763E19
1,evm.TU.HIC_ASM_2.236,3.357404771283763E19
1,evm.TU.HIC_ASM_5.186,3.357404771283763E19
1,evm.TU.HIC_ASM_6.1219,3.357404771283763E19
1,evm.TU.HIC_ASM_6.1507,3.357404771283763E19
